Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Bi Te 
     -3.56000     36.86041     12.51039     24.35002
     -3.55000     37.64553     12.79779     24.84774
     -3.54000     39.60965     13.49566     26.11398
     -3.53000     38.50045     13.10549     25.39496
     -3.52000     35.12407     11.90160     23.22247
     -3.51000     34.61026     11.67582     22.93444
     -3.50000     35.42140     11.92328     23.49812
     -3.49000     33.59963     11.32293     22.27670
     -3.48000     31.81120     10.73732     21.07390
     -3.47000     32.35911     10.80820     21.55173
     -3.46000     34.72015     11.25263     23.48181
     -3.45000     40.10516     11.92724     28.27932
     -3.44000     47.12085     12.24234     35.19570
     -3.43000     47.89635     11.64738     36.75361
     -3.42000     44.56696     11.54771     33.55019
     -3.41000     44.19155     12.62595     32.06729
     -3.40000     44.42809     13.51091     31.36983
     -3.39000     41.82870     13.44576     28.66508
     -3.38000     39.71883     13.51755     26.29542
     -3.37000     39.71091     13.86788     25.85824
     -3.36000     40.43613     14.09671     26.34053
     -3.35000     40.27264     13.96002     26.31265
     -3.34000     41.02731     13.82368     27.20362
     -3.33000     60.48463     17.29313     43.19150
     -3.32000    106.20454     25.87138     80.33316
     -3.31000    111.28277     26.92635     84.35643
     -3.30000     66.26907     18.57801     47.69106
     -3.29000     41.69004     13.93439     27.75566
     -3.28000     38.77224     13.47685     25.29539
     -3.27000     39.91998     13.94263     25.97735
     -3.26000     40.19596     14.06769     26.12827
     -3.25000     38.72065     13.48152     25.23913
     -3.24000     39.35324     13.21003     26.14321
     -3.23000     55.85797     15.71621     40.14176
     -3.22000     97.94149     22.69579     75.24570
     -3.21000    107.94330     24.43427     83.50903
     -3.20000     66.70754     17.46100     49.24653
     -3.19000     38.86835     12.42398     26.44436
     -3.18000     31.71872     10.87734     20.84138
     -3.17000     31.83982     11.07578     20.76404
     -3.16000     31.90239     11.01022     20.89218
     -3.15000     31.62259     10.33183     21.29076
     -3.14000     50.51861     13.79015     36.72846
     -3.13000     98.25695     23.39447     74.86248
     -3.12000    112.46853     26.28219     86.18634
     -3.11000     99.74952     23.81230     75.93722
     -3.10000    115.18800     26.97751     88.21049
     -3.09000     91.70914     22.62786     69.08128
     -3.08000     47.78418     13.99894     33.78525
     -3.07000     32.99193     11.07471     21.91722
     -3.06000     32.97669     11.54142     21.43527
     -3.05000     34.27686     12.36355     21.91331
     -3.04000     35.15067     12.85338     22.29728
     -3.03000     34.65147     12.70555     21.94592
     -3.02000     33.08214     12.04723     21.03492
     -3.01000     33.66236     12.07660     21.58575
     -3.00000     35.20834     12.55284     22.65550
     -2.99000     32.73543     11.69221     21.04322
     -2.98000     29.88226     10.61037     19.27189
     -2.97000     30.56691     10.63509     19.93182
     -2.96000     33.21120     11.22407     21.98713
     -2.95000     47.57827     14.48113     33.09714
     -2.94000     90.71006     24.11390     66.59615
     -2.93000    112.88076     28.86188     84.01888
     -2.92000     71.88690     19.58758     52.29932
     -2.91000     37.30188     11.97900     25.32288
     -2.90000     29.02207     10.11088     18.91118
     -2.89000     27.71364      9.53924     18.17439
     -2.88000     29.83530     10.12780     19.70750
     -2.87000     32.19850     10.95064     21.24785
     -2.86000     31.79662     10.75208     21.04455
     -2.85000     29.93312     10.01338     19.91974
     -2.84000     28.89815      9.64684     19.25131
     -2.83000     28.13152      9.38227     18.74924
     -2.82000     28.06101      9.27019     18.79082
     -2.81000     28.51152      9.27001     19.24150
     -2.80000     30.29751      9.82972     20.46779
     -2.79000     34.44319     11.15457     23.28862
     -2.78000     38.42055     12.20294     26.21761
     -2.77000     47.32432     15.08686     32.23746
     -2.76000     81.48987     27.02288     54.46699
     -2.75000    109.96497     37.07334     72.89164
     -2.74000     79.74135     26.79118     52.95017
     -2.73000     45.47324     14.98100     30.49224
     -2.72000     34.62694     11.18515     23.44179
     -2.71000     28.74578      9.16461     19.58117
     -2.70000     24.92980      7.88914     17.04066
     -2.69000     23.75198      7.55727     16.19471
     -2.68000     24.38287      7.82483     16.55803
     -2.67000     25.69356      8.15000     17.54356
     -2.66000     32.74882     11.12776     21.62106
     -2.65000     66.07008     26.20354     39.86654
     -2.64000    106.19815     44.50015     61.69800
     -2.63000     85.34810     35.09733     50.25078
     -2.62000     42.20542     15.66149     26.54393
     -2.61000     26.01594      8.58929     17.42665
     -2.60000     31.33084      9.94001     21.39083
     -2.59000     64.10890     20.25294     43.85596
     -2.58000    105.63692     33.61977     72.01716
     -2.57000     87.89559     28.17812     59.71747
     -2.56000     45.89972     14.89401     31.00571
     -2.55000     40.38397     14.11797     26.26600
     -2.54000     74.94466     29.45739     45.48727
     -2.53000    108.23892     44.02944     64.20948
     -2.52000     78.58611     31.02281     47.56330
     -2.51000     40.77283     14.35901     26.41382
     -2.50000     31.57060     10.15670     21.41390
     -2.49000     36.47652     11.36493     25.11159
     -2.48000     83.62637     25.03751     58.58886
