Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Bi Te 
     -4.40062     41.18199      0.00000      0.00000
     -4.39062     39.64287      0.00000      0.00000
     -4.38062     39.71875      0.00000      0.00000
     -4.37062     39.80595      0.00000      0.00000
     -4.36062     38.95577      0.00000      0.00000
     -4.35062     37.56512      0.00000      0.00000
     -4.34062     37.56666      0.00000      0.00000
     -4.33062     39.12977      0.00000      0.00000
     -4.32062     41.23109      0.00000      0.00000
     -4.31062     43.53436      0.00000      0.00000
     -4.30062     43.93628      0.00000      0.00000
     -4.29062     45.26464      0.00000      0.00000
     -4.28062     47.45804      0.00000      0.00000
     -4.27062     47.82104      0.00000      0.00000
     -4.26062     46.48764      0.00000      0.00000
     -4.25062     42.14043      0.00000      0.00000
     -4.24062     41.63967      0.00000      0.00000
     -4.23062     47.09293      0.00000      0.00000
     -4.22062     49.26960      0.00000      0.00000
     -4.21062     47.10256      0.00000      0.00000
     -4.20062     46.47644      0.00000      0.00000
     -4.19062     49.09671      0.00000      0.00000
     -4.18062     51.67634      0.00000      0.00000
     -4.17062     50.31570      0.00000      0.00000
     -4.16062     48.60697      0.00000      0.00000
     -4.15062     46.95116      0.00000      0.00000
     -4.14062     46.56190      0.00000      0.00000
     -4.13062     47.69740      0.00000      0.00000
     -4.12062     46.72906      0.00000      0.00000
     -4.11062     46.76233      0.00000      0.00000
     -4.10062     48.01957      0.00000      0.00000
     -4.09062     50.58570      0.00000      0.00000
     -4.08062     58.06429      0.00000      0.00000
     -4.07062     62.42895      0.00000      0.00000
     -4.06062     59.32887      0.00000      0.00000
     -4.05062     56.02723      0.00000      0.00000
     -4.04062     54.66225      0.00000      0.00000
     -4.03062     55.08224      0.00000      0.00000
     -4.02062     56.08702      0.00000      0.00000
     -4.01062     56.23064      0.00000      0.00000
     -4.00062     56.16590      0.00000      0.00000
     -3.99062     55.52471      0.00000      0.00000
     -3.98062     55.74729      0.00000      0.00000
     -3.97062     55.70803      0.00000      0.00000
     -3.96062     54.72650      0.00000      0.00000
     -3.95062     54.07577      0.00000      0.00000
     -3.94062     54.00250      0.00000      0.00000
     -3.93062     55.14279      0.00000      0.00000
     -3.92062     58.89871      0.00000      0.00000
     -3.91062     61.70018      0.00000      0.00000
     -3.90062     59.05511      0.00000      0.00000
     -3.89062     56.84675      0.00000      0.00000
     -3.88062     56.36695      0.00000      0.00000
     -3.87062     56.57868      0.00000      0.00000
     -3.86062     58.63126      0.00000      0.00000
     -3.85062     60.29160      0.00000      0.00000
     -3.84062     60.22274      0.00000      0.00000
     -3.83062     57.89736      0.00000      0.00000
     -3.82062     55.24803      0.00000      0.00000
     -3.81062     56.48057      0.00000      0.00000
     -3.80062     56.54890      0.00000      0.00000
     -3.79062     55.24163      0.00000      0.00000
     -3.78062     56.63061      0.00000      0.00000
     -3.77062     57.86566      0.00000      0.00000
     -3.76062     57.79844      0.00000      0.00000
     -3.75062     56.90296      0.00000      0.00000
     -3.74062     55.39728      0.00000      0.00000
     -3.73062     54.45241      0.00000      0.00000
     -3.72062     52.47142      0.00000      0.00000
     -3.71062     49.79463      0.00000      0.00000
