Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Bi Te 
     -4.99000     13.19329      4.67331      8.51998
     -4.98000     14.45773      5.11391      9.34381
     -4.97000     14.21750      5.04530      9.17221
     -4.96000     12.17677      4.33970      7.83707
     -4.95000     11.60687      4.12809      7.47877
     -4.94000     13.38187      4.74780      8.63407
     -4.93000     14.97508      5.32112      9.65396
     -4.92000     14.18337      5.04501      9.13836
     -4.91000     12.69590      4.50961      8.18630
     -4.90000     13.52979      4.81615      8.71364
     -4.89000     15.20694      5.45266      9.75428
     -4.88000     15.52455      5.59354      9.93100
     -4.87000     15.59581      5.60622      9.98959
     -4.86000     15.28351      5.47830      9.80521
     -4.85000     14.50931      5.16522      9.34409
     -4.84000     15.37495      5.40505      9.96990
     -4.83000     17.68275      6.20313     11.47962
     -4.82000     19.70695      6.95563     12.75132
     -4.81000     19.62160      6.94229     12.67931
     -4.80000     18.34851      6.47225     11.87626
     -4.79000     18.53452      6.51773     12.01679
     -4.78000     19.64513      6.91394     12.73119
     -4.77000     20.52518      7.21397     13.31121
     -4.76000     21.82922      7.66452     14.16470
     -4.75000     24.18364      8.50668     15.67696
     -4.74000     25.25962      8.86544     16.39418
     -4.73000     23.33141      8.12228     15.20913
     -4.72000     20.43028      7.04262     13.38766
     -4.71000     19.33413      6.62959     12.70454
     -4.70000     20.73880      7.10237     13.63643
     -4.69000     22.31134      7.65592     14.65541
     -4.68000     22.62655      7.76949     14.85706
     -4.67000     21.64667      7.41267     14.23400
     -4.66000     19.83209      6.78002     13.05207
     -4.65000     19.54486      6.66145     12.88341
     -4.64000     22.05231      7.53049     14.52182
     -4.63000     21.98727      7.50128     14.48599
     -4.62000     17.98312      6.08634     11.89678
     -4.61000     15.70715      5.31963     10.38752
     -4.60000     16.70072      5.70777     10.99295
     -4.59000     18.88207      6.49475     12.38732
     -4.58000     21.24686      7.31527     13.93158
     -4.57000     23.83885      8.22404     15.61480
     -4.56000     25.78499      8.89132     16.89367
     -4.55000     24.41696      8.36563     16.05133
     -4.54000     22.03975      7.55265     14.48710
     -4.53000     20.31150      7.00836     13.30314
     -4.52000     21.01408      7.29060     13.72347
     -4.51000     23.77573      8.32584     15.44989
     -4.50000     26.88103      9.44133     17.43971
     -4.49000     30.82267     10.77016     20.05251
     -4.48000     33.71461     11.78037     21.93424
     -4.47000     32.45825     11.38108     21.07717
     -4.46000     28.83942     10.08799     18.75142
     -4.45000     27.67781      9.59367     18.08414
     -4.44000     29.47147     10.19319     19.27828
     -4.43000     31.34167     10.83273     20.50894
     -4.42000     31.77205     10.92977     20.84229
     -4.41000     29.35210     10.08492     19.26718
     -4.40000     27.00011      9.26193     17.73818
     -4.39000     24.45569      8.34090     16.11478
     -4.38000     21.72341      7.38981     14.33360
     -4.37000     22.89753      7.82156     15.07597
     -4.36000     25.67799      8.80060     16.87739
     -4.35000     24.87848      8.51297     16.36551
     -4.34000     23.15984      7.93474     15.22510
     -4.33000     23.91769      8.17840     15.73928
     -4.32000     25.79464      8.74379     17.05086
     -4.31000     28.04515      9.46854     18.57660
     -4.30000     32.60818     11.03372     21.57446
     -4.29000     36.93853     12.57354     24.36499
     -4.28000     36.59497     12.54903     24.04594
     -4.27000     35.61282     12.28462     23.32820
     -4.26000     34.93436     12.02870     22.90567
     -4.25000     33.23136     11.36470     21.86666
     -4.24000     32.90781     11.20107     21.70673
     -4.23000     34.28787     11.68984     22.59804
     -4.22000     35.12238     12.03019     23.09218
     -4.21000     32.91603     11.28899     21.62705
     -4.20000     28.48715      9.76999     18.71716
     -4.19000     24.87961      8.52613     16.35348
     -4.18000     24.61213      8.43624     16.17589
     -4.17000     27.32180      9.37634     17.94547
     -4.16000     28.55223      9.75738     18.79484
     -4.15000     28.25081      9.59189     18.65892
     -4.14000     28.14419      9.55059     18.59361
     -4.13000     26.43738      9.02502     17.41236
     -4.12000     25.91395      8.93649     16.97746
     -4.11000     28.40494      9.88610     18.51883
     -4.10000     30.48985     10.57502     19.91484
     -4.09000     31.04805     10.69621     20.35183
     -4.08000     30.74593     10.56233     20.18360
     -4.07000     30.26415     10.39397     19.87018
     -4.06000     30.30570     10.42042     19.88528
     -4.05000     30.50634     10.46354     20.04279
     -4.04000     29.52023     10.09794     19.42228
     -4.03000     28.75624      9.84887     18.90737
     -4.02000     28.72141      9.86923     18.85219
     -4.01000     28.50265      9.80561     18.69704
     -4.00000     28.26938      9.73265     18.53674
     -3.99000     28.82028      9.95609     18.86418
     -3.98000     31.47601     10.88246     20.59355
     -3.97000     34.00786     11.73535     22.27251
     -3.96000     33.83354     11.63904     22.19450
     -3.95000     31.34277     10.76638     20.57639
     -3.94000     29.67756     10.23740     19.44016
     -3.93000     31.71243     11.00016     20.71228
     -3.92000     34.52252     11.99168     22.53085
     -3.91000     34.39611     11.93854     22.45757
     -3.90000     32.54090     11.25957     21.28133
     -3.89000     31.66042     10.91075     20.74967
     -3.88000     33.25984     11.47253     21.78731
     -3.87000     36.94351     12.83558     24.10794
     -3.86000     39.27240     13.71561     25.55678
     -3.85000     38.55047     13.45183     25.09864
     -3.84000     36.60739     12.75169     23.85570
     -3.83000     36.41318     12.70969     23.70349
     -3.82000     39.17063     13.71327     25.45736
     -3.81000     41.34783     14.50874     26.83909
     -3.80000     39.38083     13.78392     25.59692
     -3.79000     37.11834     12.91503     24.20331
     -3.78000     36.90482     12.78176     24.12307
     -3.77000     36.43829     12.58420     23.85409
     -3.76000     35.17321     12.14363     23.02958
     -3.75000     33.97625     11.73345     22.24280
     -3.74000     31.89759     11.02471     20.87287
     -3.73000     31.93569     11.07116     20.86453
     -3.72000     34.33314     11.91450     22.41864
     -3.71000     34.31268     11.86103     22.45166
     -3.70000     33.71342     11.58978     22.12364
     -3.69000     35.10342     12.05677     23.04665
     -3.68000     36.69097     12.64237     24.04860
     -3.67000     35.45833     12.22347     23.23486
     -3.66000     32.34875     11.12120     21.22755
     -3.65000     32.17106     11.06468     21.10638
     -3.64000     33.62528     11.56840     22.05688
     -3.63000     32.95521     11.29395     21.66126
     -3.62000     31.49562     10.78382     20.71179
     -3.61000     31.56314     10.80503     20.75811
     -3.60000     33.17129     11.31840     21.85289
     -3.59000     33.70297     11.47399     22.22898
     -3.58000     36.32564     12.31186     24.01378
     -3.57000     47.23091     15.81245     31.41846
     -3.56000     62.13999     20.40644     41.73356
     -3.55000     65.84027     21.30884     44.53142
     -3.54000     55.56043     18.17460     37.38583
     -3.53000     42.50500     14.26027     28.24473
     -3.52000     35.49959     12.00671     23.49287
     -3.51000     34.64276     11.68541     22.95735
     -3.50000     35.41570     11.92116     23.49454
     -3.49000     33.55887     11.30977     22.24909
     -3.48000     31.80375     10.73434     21.06943
     -3.47000     32.44389     10.83651     21.60825
     -3.46000     35.94185     11.70557     24.25111
     -3.45000     49.06441     15.23955     33.92872
     -3.44000     76.71304     22.83964     54.19440
     -3.43000     97.57611     28.41203     69.67030
     -3.42000     92.69222     26.59373     66.62903
     -3.41000     72.32753     20.88089     51.94795
     -3.40000     57.02687     17.44838     40.02951
     -3.39000     56.73503     18.93469     38.07911
     -3.38000     56.31272     19.74004     36.66470
     -3.37000     47.00117     16.60142     30.41443
     -3.36000     41.63614     14.54509     27.09210
     -3.35000     40.53034     14.08330     26.44707
     -3.34000     41.55198     14.58128     26.97070
     -3.33000     50.35942     17.94523     32.41419
     -3.32000     59.06748     21.26389     37.80360
     -3.31000     59.54340     21.76810     37.77530
     -3.30000     56.04444     20.61112     35.43332
     -3.29000     47.42446     17.05667     30.36779
     -3.28000     48.26265     17.15434     31.10832
     -3.27000     56.99740     20.44842     36.54897
     -3.26000     53.14701     19.00003     34.14698
     -3.25000     42.53827     14.95378     27.58448
     -3.24000     40.51756     14.12418     26.39338
     -3.23000     47.31412     16.61301     30.70111
     -3.22000     49.95984     17.58530     32.37455
     -3.21000     42.53240     14.73736     27.79504
     -3.20000     41.63796     14.32080     27.31716
     -3.19000     48.59827     17.01096     31.58731
     -3.18000     47.48650     16.80426     30.68224
     -3.17000     38.36225     13.50520     24.85705
     -3.16000     32.72305     11.33593     21.38712
     -3.15000     28.91751      9.81441     19.10310
     -3.14000     28.35241      9.54979     18.80262
     -3.13000     31.14317     10.54820     20.59497
     -3.12000     31.76616     10.83276     20.93339
     -3.11000     31.35402     10.75372     20.60030
     -3.10000     32.59443     11.24173     21.35270
     -3.09000     32.98203     11.43746     21.54458
     -3.08000     31.66024     10.92195     20.73829
     -3.07000     31.37619     10.77018     20.60601
     -3.06000     32.94210     11.54458     21.39751
     -3.05000     34.29352     12.37410     21.91942
     -3.04000     35.15790     12.85725     22.30065
     -3.03000     34.67603     12.71205     21.96399
     -3.02000     33.95461     12.32087     21.63375
     -3.01000     39.87329     14.04659     25.82670
     -3.00000     51.01813     17.56989     33.44824
     -2.99000     47.56350     16.39568     31.16782
     -2.98000     35.02281     12.23873     22.78408
     -2.97000     31.21633     10.84345     20.37288
     -2.96000     32.27541     11.06529     21.21013
     -2.95000     36.92852     12.55812     24.37040
     -2.94000     48.17499     16.22519     31.94980
     -2.93000     50.80033     17.10699     33.69335
     -2.92000     39.66926     13.47938     26.18988
     -2.91000     37.52208     12.67137     24.85072
     -2.90000     44.79368     14.75288     30.04080
     -2.89000     43.04340     14.03707     29.00633
     -2.88000     42.70513     14.12094     28.58419
     -2.87000     58.99416     19.49946     39.49470
     -2.86000     64.56608     21.17817     43.38791
     -2.85000     45.84713     15.05584     30.79129
     -2.84000     31.89053     10.59177     21.29876
     -2.83000     28.45255      9.48394     18.96862
     -2.82000     29.70519      9.80484     19.90034
     -2.81000     37.25251     12.12280     25.12971
     -2.80000     47.61033     15.47542     32.13491
     -2.79000     48.51524     15.61813     32.89710
     -2.78000     49.57648     15.13194     34.44454
     -2.77000     54.21660     15.76118     38.45542
     -2.76000     47.70262     14.05830     33.64432
     -2.75000     43.12658     13.49530     29.63128
     -2.74000     48.77674     15.88517     32.89157
     -2.73000     46.12586     15.10584     31.02002
     -2.72000     38.44790     12.38521     26.06269
     -2.71000     38.75510     12.14158     26.61352
     -2.70000     43.41393     13.42511     29.98882
     -2.69000     42.21473     13.38038     28.83435
     -2.68000     43.57210     14.31288     29.25922
     -2.67000     39.55715     12.86147     26.69568
     -2.66000     31.79309      9.95875     21.83434
     -2.65000     36.78824     11.57206     25.21619
     -2.64000     45.12770     14.41760     30.71010
     -2.63000     39.54679     12.69464     26.85214
     -2.62000     31.40452     10.12309     21.28144
     -2.61000     34.49612     11.14789     23.34823
     -2.60000     48.05194     15.35016     32.70178
     -2.59000     54.99726     17.33379     37.66346
     -2.58000     46.64139     14.75830     31.88309
     -2.57000     33.18654     10.72424     22.46231
     -2.56000     29.02680      9.35252     19.67428
     -2.55000     33.59001     10.19079     23.39922
     -2.54000     44.51431     12.51057     32.00373
     -2.53000     56.18237     15.99014     40.19223
     -2.52000     69.44812     21.19756     48.25056
     -2.51000     75.92666     24.08601     51.84065
     -2.50000     58.35282     18.74783     39.60499
     -2.49000     35.38241     11.31769     24.06472
     -2.48000     26.27176      8.35420     17.91756
     -2.47000     31.78314     10.34936     21.43378
     -2.46000     41.18596     13.64239     27.54357
     -2.45000     36.01186     11.77826     24.23360
     -2.44000     25.15180      7.90011     17.25170
     -2.43000     25.15546      7.68045     17.47501
     -2.42000     36.78034     11.25855     25.52179
     -2.41000     45.14946     13.69031     31.45915
     -2.40000     39.20906     11.45370     27.75537
     -2.39000     33.34769      9.24716     24.10053
     -2.38000     33.30993      9.03216     24.27777
     -2.37000     35.46101      9.65670     25.80432
     -2.36000     36.35664      9.93823     26.41841
     -2.35000     34.87958      9.64983     25.22975
     -2.34000     35.02880      9.69245     25.33635
     -2.33000     41.18265     11.03693     30.14573
     -2.32000     44.42916     11.72019     32.70898
     -2.31000     35.52152      9.62267     25.89885
     -2.30000     28.67577      8.11094     20.56483
     -2.29000     29.64106      8.45208     21.18898
     -2.28000     37.98043     10.79515     27.18528
