Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Bi Te 
     -4.99000     13.19329      4.67331      8.51998
     -4.98000     14.45773      5.11391      9.34381
     -4.97000     14.21750      5.04530      9.17221
     -4.96000     12.17677      4.33970      7.83707
     -4.95000     11.60687      4.12809      7.47877
     -4.94000     13.38187      4.74780      8.63407
     -4.93000     14.97508      5.32112      9.65396
     -4.92000     14.18337      5.04501      9.13836
     -4.91000     12.69590      4.50961      8.18630
     -4.90000     13.52979      4.81615      8.71364
     -4.89000     15.20694      5.45266      9.75428
     -4.88000     15.52455      5.59354      9.93100
     -4.87000     15.59581      5.60622      9.98959
     -4.86000     15.28351      5.47830      9.80521
     -4.85000     14.50931      5.16522      9.34409
     -4.84000     15.37495      5.40505      9.96990
     -4.83000     17.68275      6.20313     11.47962
     -4.82000     19.70695      6.95563     12.75132
     -4.81000     19.62160      6.94229     12.67931
     -4.80000     18.34851      6.47225     11.87626
     -4.79000     18.53452      6.51773     12.01679
     -4.78000     19.64513      6.91394     12.73119
     -4.77000     20.52518      7.21397     13.31121
     -4.76000     21.82922      7.66452     14.16470
     -4.75000     24.18364      8.50668     15.67696
     -4.74000     25.25962      8.86544     16.39418
     -4.73000     23.33141      8.12228     15.20913
     -4.72000     20.43028      7.04262     13.38766
     -4.71000     19.33413      6.62959     12.70454
     -4.70000     20.73880      7.10237     13.63643
     -4.69000     22.31134      7.65592     14.65541
     -4.68000     22.62655      7.76949     14.85706
     -4.67000     21.64667      7.41267     14.23400
     -4.66000     19.83209      6.78002     13.05207
     -4.65000     19.54486      6.66145     12.88341
     -4.64000     22.05231      7.53049     14.52182
     -4.63000     21.98727      7.50128     14.48599
     -4.62000     17.98312      6.08634     11.89678
     -4.61000     15.70715      5.31963     10.38752
     -4.60000     16.70072      5.70777     10.99295
     -4.59000     18.88207      6.49475     12.38732
     -4.58000     21.24686      7.31527     13.93158
     -4.57000     23.83885      8.22404     15.61480
     -4.56000     25.78499      8.89132     16.89367
     -4.55000     24.41696      8.36563     16.05133
     -4.54000     22.03975      7.55265     14.48710
     -4.53000     20.31150      7.00836     13.30314
     -4.52000     21.01408      7.29060     13.72347
     -4.51000     23.77573      8.32584     15.44989
     -4.50000     26.88103      9.44133     17.43971
     -4.49000     30.82267     10.77016     20.05251
     -4.48000     33.71461     11.78037     21.93424
     -4.47000     32.45825     11.38108     21.07717
     -4.46000     28.83942     10.08799     18.75142
     -4.45000     27.67781      9.59367     18.08414
     -4.44000     29.47147     10.19319     19.27828
     -4.43000     31.34167     10.83273     20.50894
     -4.42000     31.77205     10.92977     20.84229
     -4.41000     29.35210     10.08492     19.26718
     -4.40000     27.00011      9.26193     17.73818
     -4.39000     24.45569      8.34090     16.11478
     -4.38000     21.72341      7.38981     14.33360
     -4.37000     22.89753      7.82156     15.07597
     -4.36000     25.67799      8.80060     16.87739
     -4.35000     24.87848      8.51297     16.36551
     -4.34000     23.15984      7.93474     15.22510
     -4.33000     23.91769      8.17840     15.73928
     -4.32000     25.79464      8.74379     17.05086
     -4.31000     28.04515      9.46854     18.57660
     -4.30000     32.60818     11.03372     21.57446
     -4.29000     36.93853     12.57354     24.36499
     -4.28000     36.59497     12.54903     24.04594
     -4.27000     35.61282     12.28462     23.32819
     -4.26000     34.93436     12.02870     22.90567
     -4.25000     33.23136     11.36470     21.86666
     -4.24000     32.90781     11.20107     21.70673
     -4.23000     34.28787     11.68984     22.59804
     -4.22000     35.12238     12.03019     23.09218
     -4.21000     32.91603     11.28899     21.62705
     -4.20000     28.48715      9.76999     18.71716
     -4.19000     24.87961      8.52613     16.35348
     -4.18000     24.61213      8.43624     16.17589
     -4.17000     27.32181      9.37634     17.94547
     -4.16000     28.55223      9.75738     18.79485
     -4.15000     28.25081      9.59189     18.65892
     -4.14000     28.14419      9.55059     18.59361
     -4.13000     26.43738      9.02502     17.41236
     -4.12000     25.91395      8.93649     16.97746
     -4.11000     28.40494      9.88610     18.51883
     -4.10000     30.48985     10.57502     19.91484
     -4.09000     31.04805     10.69621     20.35183
     -4.08000     30.74593     10.56233     20.18360
     -4.07000     30.26415     10.39397     19.87018
     -4.06000     30.30570     10.42042     19.88528
     -4.05000     30.50634     10.46354     20.04279
     -4.04000     29.52023     10.09794     19.42228
     -4.03000     28.75624      9.84887     18.90737
     -4.02000     28.72141      9.86923     18.85219
     -4.01000     28.50265      9.80561     18.69704
     -4.00000     28.26938      9.73265     18.53674
     -3.99000     28.82028      9.95609     18.86418
     -3.98000     31.47601     10.88246     20.59355
     -3.97000     34.00786     11.73535     22.27251
     -3.96000     33.83354     11.63904     22.19450
     -3.95000     31.34277     10.76637     20.57639
     -3.94000     29.67756     10.23740     19.44016
     -3.93000     31.71243     11.00016     20.71228
     -3.92000     34.52252     11.99168     22.53085
     -3.91000     34.39611     11.93854     22.45757
     -3.90000     32.54090     11.25957     21.28133
     -3.89000     31.66042     10.91075     20.74967
     -3.88000     33.25984     11.47253     21.78731
     -3.87000     36.94352     12.83558     24.10794
     -3.86000     39.27240     13.71561     25.55678
     -3.85000     38.55047     13.45183     25.09864
     -3.84000     36.60739     12.75169     23.85570
     -3.83000     36.41318     12.70969     23.70349
     -3.82000     39.17063     13.71327     25.45736
     -3.81000     41.34783     14.50874     26.83909
     -3.80000     39.38083     13.78392     25.59692
     -3.79000     37.11834     12.91503     24.20331
     -3.78000     36.90482     12.78176     24.12307
     -3.77000     36.43829     12.58420     23.85409
     -3.76000     35.17321     12.14363     23.02958
     -3.75000     33.97625     11.73345     22.24280
     -3.74000     31.89759     11.02471     20.87287
     -3.73000     31.93569     11.07116     20.86453
     -3.72000     34.33314     11.91450     22.41864
     -3.71000     34.31268     11.86103     22.45166
     -3.70000     33.71342     11.58978     22.12364
     -3.69000     35.10342     12.05677     23.04665
     -3.68000     36.69097     12.64237     24.04860
     -3.67000     35.45833     12.22347     23.23486
     -3.66000     32.34875     11.12120     21.22755
     -3.65000     32.17106     11.06468     21.10638
     -3.64000     33.62528     11.56840     22.05688
     -3.63000     32.95521     11.29395     21.66126
     -3.62000     31.49562     10.78382     20.71179
     -3.61000     31.56314     10.80503     20.75811
     -3.60000     33.16691     11.31698     21.84993
     -3.59000     33.54509     11.42293     22.12216
     -3.58000     34.20012     11.62666     22.57346
     -3.57000     36.05474     12.24308     23.81166
     -3.56000     36.86449     12.51181     24.35268
     -3.55000     37.67273     12.80761     24.86512
     -3.54000     39.62755     13.50196     26.12559
     -3.53000     38.44980     13.08764     25.36216
     -3.52000     35.08662     11.88791     23.19871
     -3.51000     34.62684     11.68084     22.94600
     -3.50000     35.41547     11.92109     23.49438
     -3.49000     33.55887     11.30977     22.24909
     -3.48000     31.80254     10.73387     21.06869
     -3.47000     32.38228     10.81287     21.57029
     -3.46000     34.77565     11.26182     23.52867
     -3.45000     40.21878     11.93772     28.38492
     -3.44000     47.19783     12.23898     35.27985
     -3.43000     47.85049     11.63696     36.71975
     -3.42000     44.53238     11.55740     33.50553
     -3.41000     44.20525     12.64567     32.06089
     -3.40000     44.40927     13.51615     31.34414
     -3.39000     41.77857     13.44253     28.61481
     -3.38000     39.70708     13.52301     26.27610
     -3.37000     39.71835     13.87220     25.86083
     -3.36000     40.44453     14.09851     26.34707
     -3.35000     40.11445     13.92728     26.18720
     -3.34000     38.09076     13.28233     24.80843
     -3.33000     37.35719     13.05997     24.29722
     -3.32000     38.48791     13.47680     25.01111
     -3.31000     38.31856     13.56682     24.75174
     -3.30000     37.35955     13.28230     24.07725
     -3.29000     37.48756     13.16391     24.32364
     -3.28000     38.56830     13.44284     25.12546
     -3.27000     39.93248     13.94857     25.98391
     -3.26000     40.18253     14.06307     26.11946
     -3.25000     38.58233     13.45044     25.13190
     -3.24000     36.86965     12.76707     24.10257
     -3.23000     34.94321     12.02309     22.92011
     -3.22000     32.76765     11.20672     21.56093
     -3.21000     33.16299     11.26046     21.90253
     -3.20000     35.12501     11.89853     23.22648
     -3.19000     33.91167     11.54443     22.36724
     -3.18000     31.42133     10.82447     20.59687
     -3.17000     31.84920     11.08090     20.76830
     -3.16000     31.75150     10.97429     20.77720
     -3.15000     28.86419      9.79456     19.06963
     -3.14000     28.35133      9.54939     18.80194
     -3.13000     31.14317     10.54820     20.59497
     -3.12000     31.76616     10.83276     20.93339
     -3.11000     31.35402     10.75372     20.60030
     -3.10000     32.59443     11.24173     21.35270
     -3.09000     32.98203     11.43746     21.54458
     -3.08000     31.66024     10.92195     20.73829
     -3.07000     31.37619     10.77018     20.60601
     -3.06000     32.94210     11.54458     21.39751
     -3.05000     34.29352     12.37410     21.91942
     -3.04000     35.15699     12.85696     22.30003
     -3.03000     34.62907     12.69714     21.93193
     -3.02000     33.06648     12.03902     21.02746
     -3.01000     33.69457     12.08577     21.60880
     -3.00000     35.20477     12.55152     22.65325
     -2.99000     32.67485     11.67077     21.00408
     -2.98000     29.86565     10.60210     19.26354
     -2.97000     30.54347     10.63000     19.91347
     -2.96000     31.84066     10.92937     20.91130
     -2.95000     33.11941     11.36862     21.75078
     -2.94000     34.96371     12.09964     22.86407
     -2.93000     33.88640     11.82636     22.06004
     -2.92000     30.72611     10.70795     20.01816
     -2.91000     29.41382     10.27870     19.13512
     -2.90000     28.44386      9.98205     18.46181
     -2.89000     27.70973      9.53610     18.17363
     -2.88000     29.88232     10.14346     19.73886
     -2.87000     32.21622     10.95675     21.25947
     -2.86000     31.76996     10.74116     21.02880
     -2.85000     29.90941     10.00436     19.90504
     -2.84000     28.88560      9.64275     19.24285
     -2.83000     28.12294      9.37883     18.74412
     -2.82000     28.06590      9.26955     18.79635
     -2.81000     28.52325      9.27220     19.25105
     -2.80000     30.34679      9.84633     20.50046
     -2.79000     34.48663     11.16588     23.32076
     -2.78000     37.56578     11.90119     25.66459
     -2.77000     36.59473     11.36656     25.22818
     -2.76000     33.25763     10.30342     22.95422
     -2.75000     30.06891      9.37675     20.69216
     -2.74000     31.08147      9.92346     21.15800
     -2.73000     34.57628     11.20280     23.37348
     -2.72000     33.66560     10.85158     22.81403
     -2.71000     28.63848      9.12809     19.51038
     -2.70000     24.89304      7.87724     17.01580
     -2.69000     23.75017      7.55814     16.19203
     -2.68000     24.38742      7.82422     16.56320
     -2.67000     25.20836      7.92365     17.28471
     -2.66000     25.51264      7.82222     17.69041
     -2.65000     26.79250      8.27362     18.51888
     -2.64000     27.77379      8.70458     19.06921
     -2.63000     27.77267      8.81914     18.95353
     -2.62000     26.60906      8.55035     18.05871
     -2.61000     24.05296      7.75015     16.30282
     -2.60000     25.07014      7.93721     17.13293
     -2.59000     27.90905      8.73392     19.17513
     -2.58000     28.35644      9.03220     19.32425
     -2.57000     27.23831      8.87517     18.36314
     -2.56000     27.61860      8.97813     18.64047
     -2.55000     28.41488      9.08742     19.32746
     -2.54000     28.03173      8.87813     19.15360
     -2.53000     28.41962      9.00036     19.41926
     -2.52000     28.53777      9.05944     19.47833
     -2.51000     29.24158      9.29751     19.94407
     -2.50000     30.09391      9.58092     20.51299
     -2.49000     27.48214      8.72174     18.76040
     -2.48000     23.89925      7.52995     16.36930
     -2.47000     23.50847      7.38778     16.12069
     -2.46000     24.19890      7.56029     16.63861
     -2.45000     23.10872      7.15888     15.94985
     -2.44000     21.24654      6.51656     14.72998
     -2.43000     21.60239      6.56161     15.04078
     -2.42000     24.56407      7.47229     17.09179
     -2.41000     27.94206      8.35804     19.58402
     -2.40000     30.28249      8.68752     21.59498
     -2.39000     31.64410      8.71925     22.92485
     -2.38000     33.19033      8.99510     24.19523
     -2.37000     35.45780      9.65571     25.80209
     -2.36000     36.34690      9.93588     26.41102
     -2.35000     34.59630      9.58131     25.01499
     -2.34000     31.99806      8.95944     23.03862
     -2.33000     29.25380      8.15186     21.10194
     -2.32000     27.15672      7.54273     19.61399
     -2.31000     26.32052      7.39731     18.92321
     -2.30000     26.84628      7.66615     19.18013
     -2.29000     28.92068      8.22639     20.69429
     -2.28000     33.14728      9.20524     23.94204
