Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Bi Te 
     -4.83775     26.38659      0.00000      0.00000
     -4.82775     28.91545      0.00000      0.00000
     -4.81775     28.43501      0.00000      0.00000
     -4.80775     24.35354      0.00000      0.00000
     -4.79775     23.21374      0.00000      0.00000
     -4.78775     26.76375      0.00000      0.00000
     -4.77775     29.95015      0.00000      0.00000
     -4.76775     28.36674      0.00000      0.00000
     -4.75775     25.39181      0.00000      0.00000
     -4.74775     27.05958      0.00000      0.00000
     -4.73775     30.41389      0.00000      0.00000
     -4.72775     31.04909      0.00000      0.00000
     -4.71775     31.19163      0.00000      0.00000
     -4.70775     30.56703      0.00000      0.00000
     -4.69775     29.01862      0.00000      0.00000
     -4.68775     30.74990      0.00000      0.00000
     -4.67775     35.36550      0.00000      0.00000
     -4.66775     39.41390      0.00000      0.00000
     -4.65775     39.24320      0.00000      0.00000
     -4.64775     36.69703      0.00000      0.00000
     -4.63775     37.06904      0.00000      0.00000
     -4.62775     39.29026      0.00000      0.00000
     -4.61775     41.05036      0.00000      0.00000
     -4.60775     43.65844      0.00000      0.00000
     -4.59775     48.36727      0.00000      0.00000
     -4.58775     50.51924      0.00000      0.00000
     -4.57775     46.66281      0.00000      0.00000
     -4.56775     40.86056      0.00000      0.00000
     -4.55775     38.66826      0.00000      0.00000
     -4.54775     41.47760      0.00000      0.00000
     -4.53775     44.62267      0.00000      0.00000
     -4.52775     45.25310      0.00000      0.00000
     -4.51775     43.29334      0.00000      0.00000
     -4.50775     39.66419      0.00000      0.00000
     -4.49775     39.08973      0.00000      0.00000
     -4.48775     44.10462      0.00000      0.00000
     -4.47775     43.97454      0.00000      0.00000
     -4.46775     35.96625      0.00000      0.00000
     -4.45775     31.41429      0.00000      0.00000
     -4.44775     33.40144      0.00000      0.00000
     -4.43775     37.76414      0.00000      0.00000
     -4.42775     42.49371      0.00000      0.00000
     -4.41775     47.67769      0.00000      0.00000
     -4.40775     51.56998      0.00000      0.00000
     -4.39775     48.83393      0.00000      0.00000
     -4.38775     44.07950      0.00000      0.00000
     -4.37775     40.62300      0.00000      0.00000
     -4.36775     42.02816      0.00000      0.00000
     -4.35775     47.55146      0.00000      0.00000
     -4.34775     53.76207      0.00000      0.00000
     -4.33775     61.64533      0.00000      0.00000
     -4.32775     67.42921      0.00000      0.00000
     -4.31775     64.91650      0.00000      0.00000
     -4.30775     57.67883      0.00000      0.00000
     -4.29775     55.35563      0.00000      0.00000
     -4.28775     58.94294      0.00000      0.00000
     -4.27775     62.68335      0.00000      0.00000
     -4.26775     63.54410      0.00000      0.00000
     -4.25775     58.70421      0.00000      0.00000
     -4.24775     54.00022      0.00000      0.00000
     -4.23775     48.91137      0.00000      0.00000
     -4.22775     43.44682      0.00000      0.00000
     -4.21775     45.79506      0.00000      0.00000
     -4.20775     51.35598      0.00000      0.00000
     -4.19775     49.75696      0.00000      0.00000
     -4.18775     46.31968      0.00000      0.00000
     -4.17775     47.83537      0.00000      0.00000
     -4.16775     51.58929      0.00000      0.00000
     -4.15775     56.09030      0.00000      0.00000
     -4.14775     65.21635      0.00000      0.00000
     -4.13775     73.87706      0.00000      0.00000
     -4.12775     73.18994      0.00000      0.00000
     -4.11775     71.22563      0.00000      0.00000
     -4.10775     69.86873      0.00000      0.00000
     -4.09775     66.46272      0.00000      0.00000
     -4.08775     65.81561      0.00000      0.00000
     -4.07775     68.57575      0.00000      0.00000
     -4.06775     70.24476      0.00000      0.00000
     -4.05775     65.83207      0.00000      0.00000
     -4.04775     56.97430      0.00000      0.00000
     -4.03775     49.75922      0.00000      0.00000
     -4.02775     49.22426      0.00000      0.00000
     -4.01775     54.64361      0.00000      0.00000
     -4.00775     57.10445      0.00000      0.00000
     -3.99775     56.50162      0.00000      0.00000
     -3.98775     56.28839      0.00000      0.00000
     -3.97775     52.87476      0.00000      0.00000
     -3.96775     51.82790      0.00000      0.00000
     -3.95775     56.80987      0.00000      0.00000
     -3.94775     60.97970      0.00000      0.00000
     -3.93775     62.09609      0.00000      0.00000
     -3.92775     61.49186      0.00000      0.00000
     -3.91775     60.52830      0.00000      0.00000
     -3.90775     60.61141      0.00000      0.00000
     -3.89775     61.01267      0.00000      0.00000
     -3.88775     59.04045      0.00000      0.00000
     -3.87775     57.51247      0.00000      0.00000
     -3.86775     57.44284      0.00000      0.00000
     -3.85775     57.00607      0.00000      0.00000
     -3.84775     56.55367      0.00000      0.00000
     -3.83775     57.74697      0.00000      0.00000
     -3.82775     63.23163      0.00000      0.00000
     -3.81775     68.28598      0.00000      0.00000
     -3.80775     67.76319      0.00000      0.00000
     -3.79775     62.69813      0.00000      0.00000
     -3.78775     59.35691      0.00000      0.00000
     -3.77775     63.44524      0.00000      0.00000
     -3.76775     69.17275      0.00000      0.00000
     -3.75775     69.08681      0.00000      0.00000
     -3.74775     65.33179      0.00000      0.00000
     -3.73775     63.39887      0.00000      0.00000
     -3.72775     66.52864      0.00000      0.00000
     -3.71775     73.88741      0.00000      0.00000
     -3.70775     78.54480      0.00000      0.00000
     -3.69775     77.10094      0.00000      0.00000
     -3.68775     73.21478      0.00000      0.00000
     -3.67775     72.82638      0.00000      0.00000
     -3.66775     78.34246      0.00000      0.00000
     -3.65775     82.71614      0.00000      0.00000
     -3.64775     78.88982      0.00000      0.00000
     -3.63775     74.53346      0.00000      0.00000
     -3.62775     74.08793      0.00000      0.00000
     -3.61775     73.10890      0.00000      0.00000
     -3.60775     70.66176      0.00000      0.00000
     -3.59775     68.17633      0.00000      0.00000
     -3.58775     63.85513      0.00000      0.00000
     -3.57775     63.87730      0.00000      0.00000
     -3.56775     68.66649      0.00000      0.00000
     -3.55775     68.62537      0.00000      0.00000
     -3.54775     67.42684      0.00000      0.00000
     -3.53775     70.20685      0.00000      0.00000
     -3.52775     73.38219      0.00000      0.00000
     -3.51775     70.92343      0.00000      0.00000
     -3.50775     64.76324      0.00000      0.00000
     -3.49775     64.58198      0.00000      0.00000
     -3.48775     67.60829      0.00000      0.00000
     -3.47775     66.19703      0.00000      0.00000
     -3.46775     63.15109      0.00000      0.00000
     -3.45775     63.17494      0.00000      0.00000
     -3.44775     66.33991      0.00000      0.00000
     -3.43775     67.09061      0.00000      0.00000
     -3.42775     68.40546      0.00000      0.00000
     -3.41775     72.17996      0.00000      0.00000
     -3.40775     74.09102      0.00000      0.00000
     -3.39775     76.12447      0.00000      0.00000
     -3.38775     80.16549      0.00000      0.00000
     -3.37775     77.68429      0.00000      0.00000
     -3.36775     70.90595      0.00000      0.00000
     -3.35775     70.20089      0.00000      0.00000
     -3.34775     71.77687      0.00000      0.00000
     -3.33775     67.66309      0.00000      0.00000
     -3.32775     63.75476      0.00000      0.00000
     -3.31775     64.79173      0.00000      0.00000
     -3.30775     69.63715      0.00000      0.00000
     -3.29775     80.69655      0.00000      0.00000
     -3.28775     94.69474      0.00000      0.00000
     -3.27775     95.91391      0.00000      0.00000
     -3.26775     89.42312      0.00000      0.00000
     -3.25775     88.93484      0.00000      0.00000
     -3.24775     89.36970      0.00000      0.00000
     -3.23775     84.35122      0.00000      0.00000
     -3.22775     80.49932      0.00000      0.00000
     -3.21775     80.43646      0.00000      0.00000
     -3.20775     81.70616      0.00000      0.00000
     -3.19775     80.98042      0.00000      0.00000
     -3.18775     76.70681      0.00000      0.00000
     -3.17775     75.08900      0.00000      0.00000
     -3.16775     77.55244      0.00000      0.00000
     -3.15775     77.17907      0.00000      0.00000
     -3.14775     74.96799      0.00000      0.00000
     -3.13775     75.22282      0.00000      0.00000
     -3.12775     77.52636      0.00000      0.00000
     -3.11775     80.34521      0.00000      0.00000
     -3.10775     81.00445      0.00000      0.00000
     -3.09775     77.94062      0.00000      0.00000
     -3.08775     74.58416      0.00000      0.00000
     -3.07775     70.80914      0.00000      0.00000
     -3.06775     66.67092      0.00000      0.00000
     -3.05775     67.41683      0.00000      0.00000
     -3.04775     71.16846      0.00000      0.00000
     -3.03775     68.79813      0.00000      0.00000
     -3.02775     63.89925      0.00000      0.00000
     -3.01775     64.89732      0.00000      0.00000
     -3.00775     64.48072      0.00000      0.00000
     -2.99775     58.24442      0.00000      0.00000
     -2.98775     57.24800      0.00000      0.00000
     -2.97775     63.06242      0.00000      0.00000
     -2.96775     64.19428      0.00000      0.00000
     -2.95775     63.24366      0.00000      0.00000
     -2.94775     66.10624      0.00000      0.00000
     -2.93775     67.13808      0.00000      0.00000
     -2.92775     64.24227      0.00000      0.00000
     -2.91775     63.47090      0.00000      0.00000
     -2.90775     66.57425      0.00000      0.00000
     -2.89775     69.36351      0.00000      0.00000
     -2.88775     71.41437      0.00000      0.00000
     -2.87775     70.58249      0.00000      0.00000
     -2.86775     67.62816      0.00000      0.00000
     -2.85775     69.29350      0.00000      0.00000
     -2.84775     72.82403      0.00000      0.00000
     -2.83775     67.67053      0.00000      0.00000
     -2.82775     61.44441      0.00000      0.00000
     -2.81775     63.04736      0.00000      0.00000
     -2.80775     66.42661      0.00000      0.00000
     -2.79775     69.55084      0.00000      0.00000
     -2.78775     73.37522      0.00000      0.00000
     -2.77775     71.09488      0.00000      0.00000
     -2.76775     64.72337      0.00000      0.00000
     -2.75775     61.82484      0.00000      0.00000
     -2.74775     59.40295      0.00000      0.00000
     -2.73775     58.04791      0.00000      0.00000
     -2.72775     62.89033      0.00000      0.00000
     -2.71775     67.52026      0.00000      0.00000
     -2.70775     66.45672      0.00000      0.00000
     -2.69775     63.08283      0.00000      0.00000
     -2.68775     61.50131      0.00000      0.00000
     -2.67775     60.83278      0.00000      0.00000
     -2.66775     61.95706      0.00000      0.00000
     -2.65775     63.79326      0.00000      0.00000
     -2.64775     68.35325      0.00000      0.00000
     -2.63775     76.86671      0.00000      0.00000
     -2.62775     83.00845      0.00000      0.00000
     -2.61775     82.67284      0.00000      0.00000
     -2.60775     77.29818      0.00000      0.00000
     -2.59775     70.02204      0.00000      0.00000
     -2.58775     71.31908      0.00000      0.00000
     -2.57775     79.54408      0.00000      0.00000
     -2.56775     81.10701      0.00000      0.00000
     -2.55775     74.18157      0.00000      0.00000
     -2.54775     66.91658      0.00000      0.00000
     -2.53775     62.87720      0.00000      0.00000
     -2.52775     62.83232      0.00000      0.00000
     -2.51775     64.67391      0.00000      0.00000
